"game","row","col","date","day","month","year","order","player1","player2","player3"
74,3,4,"2004-12-16","16","12","2004",2,"Kowalczyk_Cliff","Holmes_Grayson","Kahn_Joel"
74,5,1,"2004-12-16","16","12","2004",3,"Kowalczyk_Cliff","Holmes_Grayson","Kahn_Joel"
75,4,1,"2004-12-17","17","12","2004",1,"Sering_Harry","West_Jennifer","Holmes_Grayson"
75,4,2,"2004-12-17","17","12","2004",2,"Sering_Harry","West_Jennifer","Holmes_Grayson"
75,4,4,"2004-12-17","17","12","2004",3,"Sering_Harry","West_Jennifer","Holmes_Grayson"
76,3,6,"2004-12-20","20","12","2004",1,"Brenner_Lyle","Kalk_Michael","Holmes_Grayson"
76,3,1,"2004-12-20","20","12","2004",2,"Brenner_Lyle","Kalk_Michael","Holmes_Grayson"
76,4,5,"2004-12-20","20","12","2004",3,"Brenner_Lyle","Kalk_Michael","Holmes_Grayson"
77,3,1,"2004-12-21","21","12","2004",1,"Lawrence_Emily","Masel_Dale","Brenner_Lyle"
77,3,1,"2004-12-21","21","12","2004",2,"Lawrence_Emily","Masel_Dale","Brenner_Lyle"
77,4,3,"2004-12-21","21","12","2004",3,"Lawrence_Emily","Masel_Dale","Brenner_Lyle"
78,5,6,"2004-12-22","22","12","2004",1,"Camp_David","Price_Hugh","Masel_Dale"
78,4,2,"2004-12-22","22","12","2004",2,"Camp_David","Price_Hugh","Masel_Dale"
78,5,6,"2004-12-22","22","12","2004",3,"Camp_David","Price_Hugh","Masel_Dale"
79,3,6,"1997-12-30","30","12","1997",1,"Locke_Andrew","Lang_Elaine","Menhennet_Janine"
79,3,3,"1997-12-30","30","12","1997",2,"Locke_Andrew","Lang_Elaine","Menhennet_Janine"
79,5,1,"1997-12-30","30","12","1997",3,"Locke_Andrew","Lang_Elaine","Menhennet_Janine"
80,4,4,"1997-12-31","31","12","1997",1,"Moeller_Nancy","Winter_Brent","Menhennet_Janine"
80,4,1,"1997-12-31","31","12","1997",2,"Moeller_Nancy","Winter_Brent","Menhennet_Janine"
81,4,1,"1987-11-09","09","11","1987",1,"Berman_Eric","Podhoretz_John","Traini_Dave"
81,1,6,"1987-11-09","09","11","1987",2,"Berman_Eric","Podhoretz_John","Traini_Dave"
81,3,2,"1987-11-09","09","11","1987",3,"Berman_Eric","Podhoretz_John","Traini_Dave"
82,5,3,"2004-12-23","23","12","2004",1,"Ayers_Jessica","Thompson_Aaron","Price_Hugh"
